date,os-se,count-nombre
2021-04-21,android,3
2021-04-21,ios,0
2021-04-22,android,3
2021-04-22,ios,0
2021-04-23,android,2
2021-04-23,ios,0
2021-04-24,android,1
2021-04-24,ios,0
2021-04-25,android,1
2021-04-25,ios,0
2021-04-26,android,3
2021-04-26,ios,0
2021-04-27,android,5
2021-04-27,ios,0
2021-04-28,android,8
2021-04-28,ios,0
2021-04-29,android,35
2021-04-29,ios,0
2021-04-30,android,14
2021-04-30,ios,0
2021-05-01,android,7
2021-05-01,ios,0
2021-05-02,android,7
2021-05-02,ios,0
2021-05-03,android,16
2021-05-03,ios,1
2021-05-04,android,13
2021-05-04,ios,0
2021-05-05,android,8
2021-05-05,ios,3
2021-05-06,android,6
2021-05-06,ios,5
2021-05-07,android,7
2021-05-07,ios,3
2021-05-08,android,11
2021-05-08,ios,0
2021-05-09,android,9
2021-05-09,ios,0
2021-05-10,android,10
2021-05-10,ios,1
2021-05-11,android,13
2021-05-11,ios,5
2021-05-12,android,20
2021-05-12,ios,4
2021-05-13,android,11
2021-05-13,ios,3
2021-05-14,android,3
2021-05-14,ios,2
2021-05-15,android,3
2021-05-15,ios,0
2021-05-16,android,3
2021-05-16,ios,0
2021-05-17,android,8
2021-05-17,ios,5
2021-05-18,android,3
2021-05-18,ios,8
2021-05-19,android,3
2021-05-19,ios,2119
2021-05-20,android,6
2021-05-20,ios,13629
2021-05-21,android,8
2021-05-21,ios,13902
2021-05-22,android,8
2021-05-22,ios,9516
2021-05-23,android,7
2021-05-23,ios,2286
2021-05-24,android,6
2021-05-24,ios,1120
2021-05-25,android,6
2021-05-25,ios,740
2021-05-26,android,3
2021-05-26,ios,420
2021-05-27,android,1
2021-05-27,ios,346
2021-05-28,android,1
2021-05-28,ios,288
2021-05-29,android,1
2021-05-29,ios,231
2021-05-30,android,1
2021-05-30,ios,205
2021-05-31,android,1
2021-05-31,ios,199
2021-06-01,android,1
2021-06-01,ios,172
