date,appos,appversion,count
2021-02-28,android,1.2.1,<20
2021-02-28,ios,1.2.1,<20
2021-02-28,ios,9.9.9,<20
2021-03-07,android,1.2.1,<20
2021-03-07,android,9.9.9,<20
2021-03-07,ios,9.9.9,<20
2021-03-14,android,1.2.2,<20
2021-03-14,android,9.9.9,<20
2021-03-14,ios,1.2.2,<20
2021-03-14,ios,9.9.9,<20
2021-03-21,android,9.9.9,91
2021-03-28,android,1.2.2,<20
2021-03-28,android,1.2.4,35
2021-03-28,android,9.9.9,34
2021-03-28,ios,9.9.9,<20
2021-04-04,android,1.2.4,<20
2021-04-04,android,1.2.5,<20
2021-04-04,android,1.2.6,<20
2021-04-04,android,9.9.9,50
2021-04-04,ios,9.9.9,20
2021-04-11,android,1.2.6,<20
2021-04-11,android,1.2.7,<20
2021-04-11,android,9.9.9,47
2021-04-11,ios,1.2.7,<20
2021-04-11,ios,9.9.9,<20
2021-04-18,android,1.2.7,<20
2021-04-18,android,9.9.9,<20
2021-04-18,ios,9.9.9,<20
2021-04-25,android,1.1.8,<20
2021-04-25,android,9.9.9,26
2021-04-25,ios,9.9.9,<20
2021-05-02,android,1.2.0,<20
2021-05-02,android,1.2.8,<20
2021-05-02,android,1.2.9,21
2021-05-02,android,9.9.9,33
2021-05-02,ios,1.1.8,<20
2021-05-02,ios,1.2.0,<20
2021-05-02,ios,1.2.1,<20
2021-05-02,ios,1.2.9,<20
2021-05-02,ios,6.6.6,<20
2021-05-02,ios,9.9.9,51
2021-05-09,android,1.1.8,<20
2021-05-09,android,1.2.0,<20
2021-05-09,android,1.2.8,<20
2021-05-09,android,1.2.9,40
2021-05-09,ios,1.1.8,<20
2021-05-09,ios,1.2.0,<20
2021-05-09,ios,1.2.8,<20
2021-05-09,ios,1.2.9,29
2021-05-09,ios,6.6.6,<20
2021-05-16,android,1.1.8,<20
2021-05-16,android,1.2.0,<20
2021-05-16,android,1.2.9,47
2021-05-16,ios,1.1.8,<20
2021-05-16,ios,1.2.0,<20
2021-05-16,ios,1.2.9,33
2021-05-16,ios,6.6.6,31
